code post,omschrijving post,freq.,type,vanaf,t/m,looptijd,check,hoeveelheid,eenheid,prijs,factor,aantal,lengte,hoogte,breedte,opp,totaal
200210,Installeren filter ø200mm lg 5m met 100mm grind omhulling,,,5,9,5,,0,m,185,,,,,,,0
200220,Casing bovenste 3 meter van het filter,,,5,9,5,,0,st,350,,,,,,,0
200230,Leveren en aanbrengen bronkop en aansluiten op verzamelleiding,,,5,9,5,,0,st,400,,,,,,,0
200240,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,0,st,285,,,,,,,0
200250,Horizontaal (theoretische lengte) gestuurd filter met grindomhulling tot ø450mm,,,5,9,5,,1000,m,550,,,1000.0,,,,550000
200260,Horizorale drain ø165mm met grindomhulling tot ø450mm,,,5,9,5,,0,m,33,,,,,,,0
200270,Grond ontgraven t.b.v. grindkoffer,,,5,9,5,,0,m³,1.25,,,,,,,0
200280,Sleufbemaling,,,5,9,5,,0,m,30,,,,,,,0
200290,Afvoeren overtollige grond,,,5,9,5,,0,m³,1.75,,,,,,,0
200300,Leveren en aanbrengen geotextiel,,,5,9,5,,0,m²,3,,,,,,,0
200310,Leveren en aanbrengen grind,,,5,9,5,,0,m³,27.5,,,,,,,0
200330,0,,,5,9,5,,0,0,0,,,,,,,0
30,Verzamelsysteem,,,,,,,,,,,,,,,,
300210,Aanbrengen verzamelleiding pvc ø315mm,,,5,9,5,,0,m,35,,,,,,,0
300220,Aanbrengen inspectieput 1000x1000x1000mm,,,5,9,5,,2,st,825,0.002,,1000.0,,,,1650
300230,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,2,st,285,,2.0,,,,,570
300240,Aanbrengen automatisch regelbare overlaat op basis van het waterniveau in de put,,,5,9,5,,2,st,2000,,2.0,,,,,4000
300250,0,,,5,9,5,,0,0,0,,,,,,,0
300260,0,,,5,9,5,,0,0,0,,,,,,,0
300270,0,,,5,9,5,,0,0,0,,,,,,,0
300280,0,,,5,9,5,,0,0,0,,,,,,,0
40,Afvoer richting watergang,,,,,,,,,,,,,,,,
400210,Aanbrengen afvoerleiding lang 50m beton ø500mm,,,5,9,5,,100,m,75,,2.0,50.0,,,,7500
400220,Aanbrengen afvoerleiding lang 50m pvc ø315mm,,,5,9,5,,0,m,35,,,,,,,0
400230,Aanbrengen uitstroombak en betonverdediging in watergang,,,5,9,5,,2,st,1700,,2.0,,,,,3400
400240,Aanbrengen regelbare klepstuw in damwand scherm,,,5,9,5,,0,st,7000,,,,,,,0
400250,0,,,5,9,5,,0,0,0,,,,,,,0
400260,0,,,5,9,5,,0,0,0,,,,,,,0
400270,0,,,5,9,5,,0,0,0,,,,,,,0
400280,0,,,5,9,5,,0,0,0,,,,,,,0
400290,0,,,5,9,5,,0,0,0,,,,,,,0
50,Besturing en monitoring,,,,,,,,,,,,,,,,
