code post,omschrijving post,freq.,type,vanaf,t/m,looptijd,check,hoeveelheid,eenheid,prijs,factor,aantal,lengte,hoogte,breedte,opp,totaal
200310,Installeren filter ø200mm lg 5m met 100mm grind omhulling,,,5,9,5,,0,m,185,,,,,,,0
200320,Casing bovenste 3 meter van het filter,,,5,9,5,,0,st,350,,,,,,,0
200330,Leveren en aanbrengen bronkop en aansluiten op verzamelleiding,,,5,9,5,,0,st,400,,,,,,,0
200340,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,0,st,285,,,,,,,0
200350,Horizontaal (theoretische lengte) gestuurd filter met grindomhulling tot ø450mm,,,5,9,5,,0,m,550,,,,,,,0
200360,Horizorale drain ø165mm met grindomhulling tot ø450mm,,,5,9,5,,1000,m,33,,,1000.0,,,,33000
200370,Grond ontgraven t.b.v. grindkoffer,,,5,9,5,,0,m³,1.25,,,,,,,0
200380,Sleufbemaling,,,5,9,5,,0,m,30,,,,,,,0
200390,Afvoeren overtollige grond,,,5,9,5,,0,m³,1.75,,,,,,,0
200400,Leveren en aanbrengen geotextiel,,,5,9,5,,0,m²,3,,,,,,,0
200410,Leveren en aanbrengen grind,,,5,9,5,,0,m³,27.5,,,,,,,0
200430,0,,,5,9,5,,0,0,0,,,,,,,0
30,Verzamelsysteem,,,,,,,,,,,,,,,,
300310,Aanbrengen verzamelleiding pvc ø315mm,,,5,9,5,,0,m,35,,,,,,,0
300320,Aanbrengen inspectieput 1000x1000x1000mm,,,5,9,5,,2,st,825,0.002,,1000.0,,,,1650
300330,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,2,st,285,,2.0,,,,,570
300340,Aanbrengen automatisch regelbare overlaat op basis van het waterniveau in de put,,,5,9,5,,2,st,2000,,2.0,,,,,4000
300350,0,,,5,9,5,,0,0,0,,,,,,,0
300360,0,,,5,9,5,,0,0,0,,,,,,,0
300370,0,,,5,9,5,,0,0,0,,,,,,,0
300380,0,,,5,9,5,,0,0,0,,,,,,,0
40,Afvoer richting watergang,,,,,,,,,,,,,,,,
400310,Aanbrengen afvoerleiding lang 50m beton ø500mm,,,5,9,5,,100,m,75,,2.0,50.0,,,,7500
400320,Aanbrengen afvoerleiding lang 50m pvc ø315mm,,,5,9,5,,0,m,35,,,,,,,0
400330,Aanbrengen uitstroombak en betonverdediging in watergang,,,5,9,5,,2,st,1700,,2.0,,,,,3400
400340,Aanbrengen regelbare klepstuw in damwand scherm,,,5,9,5,,0,st,7000,,,,,,,0
400350,0,,,5,9,5,,0,0,0,,,,,,,0
400360,0,,,5,9,5,,0,0,0,,,,,,,0
400370,0,,,5,9,5,,0,0,0,,,,,,,0
400380,0,,,5,9,5,,0,0,0,,,,,,,0
400390,0,,,5,9,5,,0,0,0,,,,,,,0
50,Besturing en monitoring,,,,,,,,,,,,,,,,
500310,Automatische aandrijving afsluiters/overlaat,,,,,,,2,st,1500,,2.0,,,,,3000
500320,Automatische aandrijving stuw,,,5,9,5,,0,st,2500,,,,,,,0
500330,Besturingskast incl. inrichting en webconnector,,,5,9,5,,2,st,10000,,2.0,,,,,20000
500340,Voedingskabel naar schakelkasten,,,5,9,5,,1000,m,27,,,1000.0,,,,27000
500350,Datakabel naar schakelkasten,,,5,9,5,,0,m,23,,,,,,,0
500360,Plaatsen peilbuis,,,5,9,5,,2,st,250,0.002,,1000.0,,,,500
500370,Automatische waarneming waterpeil peilbuis (sensor en modem),,,5,9,5,,2,st,2000,,2.0,,,,,4000
500380,Automatische waarneming waterpeil stuw / verzamelput (sensor en modem),,,5,9,5,,2,st,2000,,2.0,,,,,4000
500390,Uitvoeren onttrekkingstest per bron (6 tot 10 per dag),,,5,9,5,,0,dag,900,,,,,,,0
500400,0,,,5,9,5,,0,0,0,,,,,,,0
60,Herstel,,,,,,,,,,,,,,,,
600310,Afwerken terrein en inzaaien,,,5,9,5,,5500,m²,1.5,,,1100.0,,5.0,,8250
600320,Afwerken grasland en inzaaien,,,5,9,5,,0,m²,1,,,,,,,0
600330,0,,,5,9,5,,0,0,0,,,,,,,0
600340,0,,,5,9,5,,0,0,0,,,,,,,0
600350,0,,,5,9,5,,0,0,0,,,,,,,0
600360,0,,,5,9,5,,0,0,0,,,,,,,0
600370,0,,,5,9,5,,0,0,0,,,,,,,0
600380,0,,,5,9,5,,0,0,0,,,,,,,0
70,Diversen,,,,,,,,,,,,,,,,
700310,Rijplatenbaan,,,5,9,5,,0,m,20,,,,,,,0
700320,Bodemmonsters incl. analyse,,,5,9,5,,0,st,0,,,,,,,0
200420,Reinigen leidingen en putten,,,5,9,5,,1100,m,2.5,,,1100.0,,,,2750
700330,0,,,5,9,5,,0,0,0,,,,,,,0
700340,0,,,5,9,5,,0,0,0,,,,,,,0
700350,0,,,5,9,5,,0,0,0,,,,,,,0
700360,0,,,5,9,5,,0,0,0,,,,,,,0
700370,0,,,5,9,5,,0,0,0,,,,,,,0
700380,0,,,5,9,5,,0,0,0,,,,,,,0
