code post,omschrijving post,freq.,type,vanaf,t/m,looptijd,check,hoeveelheid,eenheid,prijs,factor,aantal,lengte,hoogte,breedte,opp,totaal
200410,Installeren filter ø200mm lg 5m met 100mm grind omhulling,,,5,9,5,,0,m,185,,,,,,,0
200420,Casing bovenste 3 meter van het filter,,,5,9,5,,0,st,350,,,,,,,0
200430,Leveren en aanbrengen bronkop en aansluiten op verzamelleiding,,,5,9,5,,0,st,400,,,,,,,0
200440,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,0,st,285,,,,,,,0
200450,Horizontaal (theoretische lengte) gestuurd filter met grindomhulling tot ø450mm,,,5,9,5,,0,m,550,,,,,,,0
200460,Horizorale drain ø165mm met grindomhulling tot ø450mm,,,5,9,5,,0,m,33,,,,,,,0
200470,Grond ontgraven t.b.v. grindkoffer,,,5,9,5,,16000,m³,1.25,3.0,,1000.0,4.0,1.0,1.3333333333333333,20000
200480,Sleufbemaling,,,5,9,5,,1000,m,30,,,1000.0,,,,30000
200490,Afvoeren overtollige grond,,,5,9,5,,16000,m³,1.75,,,,,,16000.0,28000
200500,Leveren en aanbrengen geotextiel,,,5,9,5,,28928.04340948174,m²,3,1.1,,1000.0,,,26.298221281347036,86784.13022844522
200510,Leveren en aanbrengen grind,,,5,9,5,,16000,m³,27.5,,,,,,16000.0,440000
200530,0,,,5,9,5,,0,0,0,,,,,,,0
30,Verzamelsysteem,,,,,,,,,,,,,,,,
300410,Aanbrengen verzamelleiding pvc ø315mm,,,5,9,5,,0,m,35,,,,,,,0
300420,Aanbrengen inspectieput 1000x1000x1000mm,,,5,9,5,,0,st,825,,,,,,,0
300430,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,0,st,285,,,,,,,0
300440,Aanbrengen automatisch regelbare overlaat op basis van het waterniveau in de put,,,5,9,5,,0,st,2000,,,,,,,0
300450,0,,,5,9,5,,0,0,0,,,,,,,0
300460,0,,,5,9,5,,0,0,0,,,,,,,0
300470,0,,,5,9,5,,0,0,0,,,,,,,0
300480,0,,,5,9,5,,0,0,0,,,,,,,0
40,Afvoer richting watergang,,,,,,,,,,,,,,,,
400410,Aanbrengen afvoerleiding lang 50m beton ø500mm,,,5,9,5,,0,m,75,,,,,,,0
