code post,omschrijving post,freq.,type,vanaf,t/m,looptijd,check,hoeveelheid,eenheid,prijs,factor,aantal,lengte,hoogte,breedte,opp,totaal
200110,Installeren filter ø200mm lg 5m met 100mm grind omhulling,,,5,9,5,,500,m,185,0.05,,1000.0,10.0,,,92500
200120,Casing bovenste 3 meter van het filter,,,5,9,5,,50,st,350,,50.0,,,,,17500
200130,Leveren en aanbrengen bronkop en aansluiten op verzamelleiding,,,5,9,5,,50,st,400,,50.0,,,,,20000
200140,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,50,st,285,,50.0,,,,,14250
200150,Horizontaal (theoretische lengte) gestuurd filter met grindomhulling tot ø450mm,,,5,9,5,,0,m,550,,,,,,,0
200160,Horizorale drain ø165mm met grindomhulling tot ø450mm,,,5,9,5,,0,m,33,,,,,,,0
200170,Grond ontgraven t.b.v. grindkoffer,,,5,9,5,,0,m³,1.25,,,,,,,0
200180,Sleufbemaling,,,5,9,5,,0,m,30,,,,,,,0
200190,Afvoeren overtollige grond,,,5,9,5,,0,m³,1.75,,,,,,,0
200200,Leveren en aanbrengen geotextiel,,,5,9,5,,0,m²,3,,,,,,,0
200210,Leveren en aanbrengen grind,,,5,9,5,,0,m³,27.5,,,,,,,0
200230,0,,,5,9,5,,0,0,0,,,,,,,0
30,Verzamelsysteem,,,,,,,,,,,,,,,,
300110,Aanbrengen verzamelleiding pvc ø315mm,,,5,9,5,,1000,m,35,,,1000.0,,,,35000
300120,Aanbrengen inspectieput 1000x1000x1000mm,,,5,9,5,,10,st,825,0.2,50.0,,,,,8250
300130,Aanbrengen gietijzeren putrand met deksel,,,5,9,5,,10,st,285,,10.0,,,,,2850
300140,Aanbrengen automatisch regelbare overlaat op basis van het waterniveau in de put,,,5,9,5,,10,st,2000,,10.0,,,,,20000
300150,0,,,5,9,5,,0,0,0,,,,,,,0
300160,0,,,5,9,5,,0,0,0,,,,,,,0
300170,0,,,5,9,5,,0,0,0,,,,,,,0
